plant_id,frame,side,x,y,total,mature,discoloration,green_mature,immature,assignment_source
P702-L,11.29-panoramic702.0.jpg,left,2.45,20.85,0,0,0,0,0,frame_side_proxy
P702-R,11.29-panoramic702.0.jpg,right,2.45,18.55,5,0,1,3,1,frame_side_proxy
P703-L,11.29-panoramic703.0.jpg,left,4.958333,20.85,4,0,1,1,2,frame_side_proxy
P703-R,11.29-panoramic703.0.jpg,right,4.958333,18.55,3,0,0,1,2,frame_side_proxy
P704-L,11.29-panoramic704.0.jpg,left,7.466667,20.85,1,0,0,1,0,frame_side_proxy
P704-R,11.29-panoramic704.0.jpg,right,7.466667,18.55,7,0,0,5,2,frame_side_proxy
P705-L,11.29-panoramic705.0.jpg,left,9.975,20.85,0,0,0,0,0,frame_side_proxy
P705-R,11.29-panoramic705.0.jpg,right,9.975,18.55,2,0,2,0,0,frame_side_proxy
P706-L,11.29-panoramic706.0.jpg,left,12.483333,20.85,1,0,0,0,1,frame_side_proxy
P706-R,11.29-panoramic706.0.jpg,right,12.483333,18.55,9,0,0,1,8,frame_side_proxy
P707-L,11.29-panoramic707.0.jpg,left,14.991667,20.85,0,0,0,0,0,frame_side_proxy
P707-R,11.29-panoramic707.0.jpg,right,14.991667,18.55,1,0,0,1,0,frame_side_proxy
P708-L,11.29-panoramic708.0.jpg,left,17.5,20.85,0,0,0,0,0,frame_side_proxy
P708-R,11.29-panoramic708.0.jpg,right,17.5,18.55,7,0,2,4,1,frame_side_proxy
P709-L,11.29-panoramic709.0.jpg,left,20.008333,20.85,5,0,0,4,1,frame_side_proxy
P709-R,11.29-panoramic709.0.jpg,right,20.008333,18.55,3,0,2,1,0,frame_side_proxy
P710-L,11.29-panoramic710.0.jpg,left,22.516667,20.85,1,0,0,1,0,frame_side_proxy
P710-R,11.29-panoramic710.0.jpg,right,22.516667,18.55,7,0,1,4,2,frame_side_proxy
P711-L,11.29-panoramic711.0.jpg,left,25.025,20.85,3,0,0,0,3,frame_side_proxy
P711-R,11.29-panoramic711.0.jpg,right,25.025,18.55,2,0,0,1,1,frame_side_proxy
P712-L,11.29-panoramic712.0.jpg,left,27.533333,20.85,0,0,0,0,0,frame_side_proxy
P712-R,11.29-panoramic712.0.jpg,right,27.533333,18.55,1,0,0,1,0,frame_side_proxy
P713-L,11.29-panoramic713.0.jpg,left,30.041667,20.85,0,0,0,0,0,frame_side_proxy
P713-R,11.29-panoramic713.0.jpg,right,30.041667,18.55,2,0,0,1,1,frame_side_proxy
P714-L,11.29-panoramic714.0.jpg,left,32.55,20.85,2,0,0,0,2,frame_side_proxy
P714-R,11.29-panoramic714.0.jpg,right,32.55,18.55,2,0,0,1,1,frame_side_proxy
